time_window,transactions,suspicious_transactions,actual_fraud,suspicious_rate,spike_ratio,spike_detected,risk_level,spike_score,recommended_action,fraud_rate
0,457,46,42,0.10065645514223195,0.946976192488887,False,NORMAL,18.94,NO ACTION,9.19
1,459,42,31,0.0915032679738562,0.8608629837374109,False,NORMAL,17.22,NO ACTION,6.75
2,486,30,26,0.06172839506172839,0.5807409017276185,False,NORMAL,11.61,NO ACTION,5.35
3,476,44,32,0.09243697478991597,0.8696472998979968,False,NORMAL,17.39,NO ACTION,6.72
4,504,38,40,0.07539682539682539,0.7093335299673054,False,NORMAL,14.19,NO ACTION,7.94
5,546,52,34,0.09523809523809523,0.8960002483797542,False,NORMAL,17.92,NO ACTION,6.23
6,513,50,53,0.09746588693957114,0.9169593185172923,False,NORMAL,18.34,NO ACTION,10.33
7,505,38,36,0.07524752475247524,0.707928909115885,False,NORMAL,14.16,NO ACTION,7.13
8,512,45,44,0.087890625,0.8268752292176443,False,NORMAL,16.54,NO ACTION,8.59
9,507,36,31,0.07100591715976332,0.6680238538215919,False,NORMAL,13.36,NO ACTION,6.11
10,503,183,181,0.36381709741550694,3.4227922013155023,True,HIGH,68.46,INVESTIGATE PAYMENT ACTIVITY,35.98
11,500,41,51,0.082,0.7714562138549684,False,NORMAL,15.43,NO ACTION,10.2
12,484,41,32,0.08471074380165289,0.7969588986105045,False,NORMAL,15.94,NO ACTION,6.61
13,495,37,36,0.07474747474747474,0.7032244373647162,False,NORMAL,14.06,NO ACTION,7.27
14,511,51,49,0.09980430528375733,0.9389591643979616,False,NORMAL,18.78,NO ACTION,9.59
15,520,34,39,0.06538461538461539,0.615138632060716,False,NORMAL,12.3,NO ACTION,7.5
16,485,42,38,0.0865979381443299,0.8147136279081889,False,NORMAL,16.29,NO ACTION,7.84
17,485,36,43,0.07422680412371134,0.6983259667784476,False,NORMAL,13.97,NO ACTION,8.87
18,483,163,171,0.33747412008281574,3.17495740186739,True,HIGH,63.5,INVESTIGATE PAYMENT ACTIVITY,35.4
19,522,48,43,0.09195402298850575,0.8651036880907972,False,NORMAL,17.3,NO ACTION,8.24
20,499,45,40,0.09018036072144289,0.848417068856581,False,NORMAL,16.97,NO ACTION,8.02
21,517,37,49,0.07156673114119923,0.6732999932215368,False,NORMAL,13.47,NO ACTION,9.48
22,539,51,43,0.09461966604823747,0.8901820649487169,False,NORMAL,17.8,NO ACTION,7.98
23,492,42,43,0.08536585365853659,0.8031221738525847,False,NORMAL,16.06,NO ACTION,8.74
