transaction_id,customer_id,amount,transaction_hour,is_new_device,device_age_days,location_change,distance_from_last_transaction,transactions_last_10min,failed_attempts,avg_customer_amount,amount_deviation,customer_account_age_days,payment_method,fraud,ml_score,behavioural_score,risk_score,risk_level,recommended_action,risk_reasons
TXN000001,10860,1569.67,1,0,210,0,53,2,0,300.89,5.2,1366,CARD,0,23.88,15,18.55,LOW,ALLOW,High amount deviation
TXN000002,11294,797.61,1,0,1052,0,23,2,0,266.34,2.98,1914,UPI,0,15.3,7,10.32,LOW,ALLOW,Above-normal amount
TXN000003,11130,3247.53,3,0,1470,0,4,0,0,514.0,6.31,1787,UPI,0,10.73,15,13.29,LOW,ALLOW,High amount deviation
TXN000004,11095,343.15,2,0,714,0,72,1,0,776.42,0.44,26,UPI,0,18.09,0,7.24,LOW,ALLOW,No major risk signals
TXN000005,11638,555.85,8,0,221,0,29,0,1,283.13,1.96,1804,NETBANKING,0,26.37,0,10.55,LOW,ALLOW,No major risk signals
TXN000006,12169,655.33,22,0,123,0,74,1,1,431.46,1.52,405,NETBANKING,0,47.44,0,18.98,LOW,ALLOW,No major risk signals
TXN000007,10466,788.69,21,0,928,0,75,1,0,756.3,1.04,719,UPI,0,42.45,0,16.98,LOW,ALLOW,No major risk signals
TXN000008,11238,669.09,11,0,1001,0,19,2,0,272.28,2.45,1109,CARD,0,20.99,7,12.6,LOW,ALLOW,Above-normal amount
TXN000009,10330,680.16,23,0,700,0,64,2,1,1799.65,0.38,212,CARD,0,25.14,0,10.06,LOW,ALLOW,No major risk signals
TXN000010,11482,670.75,8,0,1380,0,60,1,0,1076.23,0.62,242,WALLET,0,25.61,0,10.24,LOW,ALLOW,No major risk signals
TXN000011,12135,154.39,18,0,463,1,408,0,0,332.18,0.46,796,UPI,0,21.88,15,17.75,LOW,ALLOW,Location change
TXN000012,12919,2088.78,11,0,359,0,15,0,1,825.1,2.53,1029,NETBANKING,0,31.33,7,16.73,LOW,ALLOW,Above-normal amount
TXN000013,10130,10218.61,15,0,556,0,40,0,0,466.31,21.87,680,UPI,0,18.21,20,19.28,LOW,ALLOW,Extreme amount deviation
TXN000014,11685,1156.94,22,1,16,0,73,0,1,613.27,1.88,1148,WALLET,0,26.43,15,19.57,LOW,ALLOW,New device
TXN000015,10769,341.93,0,0,50,0,8,1,0,503.7,0.68,779,CARD,0,11.42,0,4.57,LOW,ALLOW,No major risk signals
TXN000016,12391,372.65,9,1,17,0,84,0,0,270.39,1.37,1782,CARD,0,20.77,15,17.31,LOW,ALLOW,New device
TXN000017,11515,1512.01,22,0,345,0,34,2,0,377.69,3.99,105,UPI,0,19.95,7,12.18,LOW,ALLOW,Above-normal amount
TXN000018,12853,1245.94,9,0,1274,0,96,0,0,708.99,1.75,649,UPI,0,33.36,0,13.35,LOW,ALLOW,No major risk signals
TXN000019,12433,705.11,3,0,647,0,52,1,1,1022.83,0.69,283,UPI,0,8.56,0,3.43,LOW,ALLOW,No major risk signals
TXN000020,11215,1703.42,10,0,774,0,49,2,0,1186.69,1.43,832,UPI,0,52.47,0,20.99,LOW,ALLOW,No major risk signals
TXN000021,10955,155.35,21,1,4,0,60,2,0,204.88,0.75,1805,UPI,0,21.64,15,17.65,LOW,ALLOW,New device
TXN000022,12324,1704.37,10,1,14,0,91,2,0,94.94,17.76,1951,NETBANKING,1,98.85,45,66.54,MEDIUM,STEP-UP VERIFICATION,New device | Extreme amount deviation | New device + unusual amount
TXN000023,11184,1098.94,10,0,1236,0,26,2,1,278.91,3.93,1409,UPI,0,30.35,7,16.34,LOW,ALLOW,Above-normal amount
TXN000024,10459,385.08,21,1,10,0,18,0,0,507.68,0.76,1367,UPI,0,6.15,15,11.46,LOW,ALLOW,New device
TXN000025,10021,265.52,5,0,1384,0,44,2,0,296.71,0.89,599,UPI,0,21.34,0,8.54,LOW,ALLOW,No major risk signals
TXN000026,12300,995.38,14,0,1108,0,89,1,1,349.84,2.84,358,UPI,0,26.28,7,14.71,LOW,ALLOW,Above-normal amount
TXN000027,10747,2969.51,1,0,142,0,9,1,0,954.6,3.11,1532,CARD,0,27.74,7,15.3,LOW,ALLOW,Above-normal amount
TXN000028,12904,739.61,20,0,1266,0,24,1,2,371.62,1.98,811,CARD,0,20.05,8,12.82,LOW,ALLOW,Repeated failed attempts
TXN000029,10474,434.94,22,0,1099,0,59,1,1,112.53,3.83,185,UPI,0,10.98,7,8.59,LOW,ALLOW,Above-normal amount
TXN000030,11082,1056.37,21,0,475,0,0,1,0,758.56,1.39,1672,CARD,0,12.25,0,4.9,LOW,ALLOW,No major risk signals
TXN000031,12558,4220.64,2,0,1123,0,50,1,1,570.9,7.38,1743,WALLET,0,13.32,20,17.33,LOW,ALLOW,Extreme amount deviation
TXN000032,12047,1295.44,4,0,211,0,91,1,2,1215.41,1.06,372,UPI,1,70.45,8,32.98,LOW,ALLOW,Repeated failed attempts
TXN000033,12747,1420.11,23,0,1226,0,93,2,0,305.21,4.64,1749,UPI,0,7.4,15,11.96,LOW,ALLOW,High amount deviation
TXN000034,10975,2538.63,10,0,1010,0,67,0,1,332.08,7.62,1953,UPI,0,31.64,20,24.66,LOW,ALLOW,Extreme amount deviation
TXN000035,11806,1341.67,20,0,339,1,1960,2,0,569.61,2.35,54,CARD,0,15.89,47,34.55,LOW,ALLOW,Location change | Above-normal amount | Very large distance | Location change + large distance
