transaction_id,customer_id,amount,transaction_hour,is_new_device,device_age_days,location_change,distance_from_last_transaction,transactions_last_10min,failed_attempts,avg_customer_amount,amount_deviation,customer_account_age_days,payment_method,fraud,ml_score,behavioural_score,risk_score,risk_level
TXN009999,11177,1160.52,3,0,1432,1,915,3,0,311.68,3.71,813,CARD,1,92.64,50,67.06,MEDIUM
TXN003398,10583,1025.39,19,1,15,0,29,5,0,268.08,3.81,1106,UPI,0,29.51,42,37.0,LOW
TXN008567,10701,370.46,2,0,582,0,99,2,0,479.37,0.77,818,CARD,0,16.71,0,6.68,LOW
TXN001232,10848,409.28,8,0,911,0,96,4,1,289.7,1.41,1363,CARD,0,58.5,8,28.2,LOW
TXN008827,11550,933.95,7,0,727,1,2499,1,1,820.67,1.14,1814,UPI,1,31.78,40,36.71,LOW
TXN011432,10873,607.37,6,0,444,1,948,1,2,1032.91,0.59,1203,UPI,0,32.51,43,38.8,LOW
TXN000695,11396,604.75,1,0,1311,1,1803,0,0,821.74,0.74,638,UPI,0,15.65,40,30.26,LOW
TXN001984,10477,776.2,15,1,17,0,84,3,0,831.28,0.93,1986,CARD,0,8.03,23,17.01,LOW
TXN005718,11424,4000.68,0,0,760,0,50,1,0,532.74,7.5,1449,UPI,0,28.11,20,23.24,LOW
TXN010003,11577,3121.19,8,1,16,0,63,1,0,933.19,3.34,1266,CARD,0,28.61,22,24.64,LOW
TXN008447,10319,382.02,5,0,551,0,72,0,0,226.1,1.68,1561,UPI,0,16.9,0,6.76,LOW
TXN002343,12817,1397.6,23,0,548,0,18,0,0,1463.18,0.95,583,UPI,0,58.15,0,23.26,LOW
TXN007901,12765,4161.44,11,1,4,0,48,0,0,640.74,6.48,600,UPI,0,40.65,40,40.26,MEDIUM
TXN003010,12324,474.05,14,0,1005,0,27,1,1,862.38,0.55,1310,WALLET,0,31.85,0,12.74,LOW
TXN003512,12442,2328.28,5,0,1122,0,13,2,2,342.18,6.78,1768,UPI,0,39.73,23,29.69,LOW
TXN010397,11458,1021.63,13,0,889,0,97,2,3,350.38,2.91,1854,CARD,0,23.61,22,22.64,LOW
TXN005577,12749,1653.06,19,0,825,0,89,0,0,883.12,1.87,881,WALLET,0,60.41,0,24.16,LOW
TXN007418,12779,485.7,7,0,1190,0,47,3,0,341.46,1.42,352,UPI,0,12.14,8,9.66,LOW
TXN009384,10912,2552.85,0,0,663,0,45,2,0,435.81,5.84,223,CARD,0,29.52,15,20.81,LOW
TXN006915,10512,1633.72,3,0,172,0,87,1,1,441.98,3.69,1355,NETBANKING,0,31.04,7,16.62,LOW
TXN008983,11436,63.71,17,0,1159,0,83,3,0,586.63,0.11,1089,UPI,0,24.93,8,14.77,LOW
TXN003974,11249,1058.33,20,0,1289,0,20,0,0,244.68,4.31,1731,NETBANKING,0,14.47,15,14.79,LOW
TXN004237,10843,812.56,18,0,861,1,597,1,0,455.24,1.78,557,CARD,0,43.04,15,26.22,LOW
TXN002310,11190,2892.52,17,0,86,0,82,0,0,218.54,13.18,919,CARD,0,50.14,20,32.05,LOW
TXN004612,12032,3821.87,12,0,992,0,32,1,0,2619.24,1.46,341,NETBANKING,0,12.34,0,4.93,LOW
TXN006475,11784,249.21,6,0,1171,0,85,0,0,302.39,0.82,32,UPI,0,10.9,0,4.36,LOW
